,Mode,Radius[cm],Thickness[cm],NPanels,Theta[deg],Length[cm],Ge-77[nevents],Ge-77_CNP,Ge-77_CNP_err
0,0.0,124.0,16.0,196.0,18.0,3.0,54.0,0.2141,0.0243
1,0.0,200.0,7.0,230.0,27.0,134.0,37.0,0.3368,0.0271
2,0.0,139.0,8.0,95.0,4.0,17.0,58.0,0.2123,0.0241
3,0.0,198.0,7.0,357.0,28.0,45.0,42.0,0.44,0.0268
4,0.0,116.0,11.0,67.0,7.0,144.0,52.0,0.1828,0.0235
5,0.0,130.0,3.0,271.0,29.0,149.0,50.0,0.3269,0.0252
6,0.0,225.0,11.0,19.0,42.0,61.0,44.0,0.1824,0.0234
7,0.0,109.0,1.0,131.0,36.0,32.0,70.0,0.2158,0.0241
8,0.0,123.0,15.0,155.0,33.0,148.0,48.0,0.2152,0.0245
9,0.0,188.0,1.0,199.0,42.0,110.0,60.0,0.276,0.0258
10,0.0,200.0,1.0,203.0,29.0,30.0,62.0,0.1946,0.0238
11,0.0,128.0,3.0,57.0,32.0,121.0,52.0,0.1898,0.0237
12,0.0,120.0,14.0,94.0,5.0,26.0,56.0,0.2164,0.0242
13,0.0,251.0,4.0,300.0,1.0,33.0,56.0,0.3063,0.0265
14,0.0,255.0,5.0,291.0,25.0,14.0,62.0,0.3297,0.0271
15,0.0,122.0,8.0,114.0,28.0,90.0,38.0,0.1882,0.0234
16,0.0,238.0,8.0,343.0,17.0,48.0,54.0,0.4465,0.0277
17,0.0,212.0,12.0,35.0,37.0,127.0,42.0,0.1842,0.024
18,0.0,113.0,8.0,294.0,25.0,61.0,36.0,0.265,0.0246
19,0.0,249.0,8.0,233.0,33.0,148.0,54.0,0.4577,0.0292
20,0.0,176.0,16.0,204.0,14.0,140.0,46.0,0.2471,0.0254
21,0.0,247.0,19.0,27.0,12.0,65.0,48.0,0.1775,0.0235
22,0.0,246.0,10.0,245.0,10.0,5.0,62.0,0.2415,0.0252
23,0.0,140.0,8.0,345.0,35.0,69.0,46.0,0.3803,0.0253
24,0.0,123.0,1.0,298.0,13.0,57.0,44.0,0.2471,0.0245
25,0.0,134.0,19.0,278.0,43.0,76.0,44.0,0.3115,0.0253
26,0.0,216.0,3.0,188.0,36.0,144.0,46.0,0.3015,0.0274
27,0.0,241.0,11.0,164.0,15.0,29.0,60.0,0.2037,0.0242
28,0.0,247.0,11.0,29.0,21.0,70.0,54.0,0.1833,0.0235
29,0.0,154.0,20.0,84.0,8.0,109.0,24.0,0.1652,0.0228
30,0.0,224.0,11.0,245.0,0.0,47.0,34.0,0.2373,0.025
31,0.0,253.0,7.0,71.0,43.0,77.0,60.0,0.2261,0.0253
32,0.0,95.0,2.0,111.0,22.0,117.0,32.0,0.2016,0.0239
33,0.0,216.0,7.0,14.0,34.0,135.0,50.0,0.1916,0.0246
34,0.0,204.0,15.0,284.0,17.0,87.0,58.0,0.3388,0.027
35,0.0,203.0,4.0,351.0,40.0,41.0,56.0,0.4575,0.0269
36,0.0,146.0,1.0,185.0,26.0,53.0,50.0,0.1977,0.0236
37,0.0,113.0,18.0,162.0,31.0,38.0,44.0,0.2064,0.024
38,0.0,178.0,9.0,330.0,18.0,125.0,58.0,0.4318,0.0265
39,0.0,108.0,5.0,160.0,7.0,13.0,76.0,0.2236,0.0243
40,0.0,135.0,7.0,211.0,40.0,8.0,68.0,0.2215,0.0243
41,0.0,209.0,9.0,88.0,15.0,1.0,64.0,0.188,0.0235
42,0.0,115.0,18.0,81.0,17.0,2.0,68.0,0.2291,0.0243
43,0.0,228.0,6.0,235.0,9.0,85.0,56.0,0.2754,0.0262
44,0.0,104.0,14.0,39.0,20.0,45.0,58.0,0.2143,0.0241
45,0.0,179.0,3.0,337.0,20.0,146.0,44.0,0.4741,0.0263
46,0.0,156.0,20.0,132.0,9.0,18.0,34.0,0.1919,0.0237
47,0.0,97.0,7.0,353.0,44.0,54.0,16.0,0.3424,0.0248
48,0.0,153.0,18.0,7.0,1.0,69.0,44.0,0.1761,0.0232
49,0.0,203.0,20.0,67.0,44.0,84.0,54.0,0.1846,0.0236
50,0.0,143.0,6.0,261.0,21.0,108.0,44.0,0.2759,0.0249
51,0.0,198.0,4.0,5.0,28.0,40.0,82.0,0.1707,0.0228
52,0.0,221.0,13.0,250.0,43.0,123.0,74.0,0.443,0.0282
53,0.0,234.0,6.0,282.0,45.0,103.0,38.0,0.4877,0.028
54,0.0,147.0,11.0,82.0,25.0,42.0,32.0,0.1927,0.0236
55,0.0,245.0,18.0,22.0,30.0,75.0,40.0,0.196,0.024
56,0.0,120.0,18.0,143.0,4.0,65.0,34.0,0.1918,0.0236
57,0.0,163.0,11.0,125.0,14.0,53.0,44.0,0.1847,0.0234
