# LF noise: mean = 0.029127778000381188 +- 0.005128466534986805
,Sample,Mode,Radius[cm],Thickness[cm],NPanels,Theta[deg],Length[cm],Ge-77[nevents],Ge-77_CNP,Ge-77_CNP_err
0,0,1.0,90.0,1.0,4,0.0,150.0,400.,0.22,0.024
1,0,0.0,90.0,1.0,4,0.0,150.0,400.,0.29,0.024
2,1,1.0,250.,1.,4.,0.,1.,400.,0.3477,0.021
3,1,0.0,250.,1.,4.,0.,1.,400.,0.351,0.021
4,2,1.0,250.,1.,4.,45.,150.0,400.,0.34,0.021
5,2,0.0,250.,1.,4.,45.,150.,400.,0.349,0.021
6,3,1.0,100.9,1.,198,0.0,1.1,400,0.22,0.025
7,3,0.0,100.9,1.,198,0.0,1.1,400,0.0291,0.024
8,4,1.0,250.,15.,55,0.0,150.,400,0.300,0.022
9,4,0.0,250.,15.,55,0.0,150.,400,0.347,0.022
10,5,1.0,250.,1.0,152,45.0,1.0,400.,0.345,0.024
11,5,0.0,250.,1.0,152,45.0,1.0,400.,0.39,0.021
12,6,1.0,90.,15.,120,36.97,150.,400,0.15,0.025
12,6,0.0,90.,15.,120,36.97,150.,400,0.25,0.025
