# [LF, 4, 141.8, 4.4, 289, 1.245674740484429, 33.2, 62.2, 300.0, 42.0, 24318974.1] # mode design r d npanels phi theta L H z V
,nidx,tid,nC_A,nC_Z,cross_cryo
0,"[0, 0]",1,2,1,0
1,"[1, 0]",1,41,18,0
2,"[2, 0]",1,158,64,0
3,"[3, 0]",1,158,64,0
4,"[4, 0]",1,0,0,0
5,"[4, 1]",2,158,64,0
6,"[5, 0]",1,158,64,0
7,"[6, 0]",1,0,0,0
8,"[6, 1]",2,2,1,0
9,"[7, 0]",1,2,1,0
10,"[8, 0]",1,158,64,0
11,"[9, 0]",1,0,0,0
12,"[9, 1]",2,0,0,0
13,"[9, 2]",26,57,26,1
14,"[10, 0]",1,0,0,0
15,"[10, 1]",2,0,0,0
16,"[10, 2]",71,158,64,0
17,"[11, 0]",1,2,1,0
18,"[12, 0]",1,158,64,0
19,"[13, 0]",1,41,18,0
20,"[14, 0]",1,158,64,0
21,"[15, 0]",1,2,1,0
22,"[16, 0]",1,2,1,0
23,"[17, 0]",1,0,0,0
24,"[17, 1]",2,2,1,0
25,"[18, 0]",1,41,18,0
26,"[19, 0]",1,158,64,0
27,"[20, 0]",1,158,64,0
28,"[21, 0]",1,0,0,0
29,"[21, 1]",3,158,64,0
30,"[21, 2]",2,2,1,0
31,"[22, 0]",1,41,18,0
32,"[23, 0]",1,0,0,0
33,"[23, 1]",2,158,64,4
34,"[24, 0]",1,0,0,0
35,"[24, 1]",2,41,18,0
36,"[25, 0]",1,158,64,0
37,"[26, 0]",1,0,0,0
38,"[26, 1]",3,41,18,0
39,"[26, 2]",2,0,0,0
40,"[26, 3]",32,41,18,0
41,"[27, 0]",1,2,1,0
42,"[28, 0]",1,0,0,0
43,"[28, 1]",2,158,64,0
44,"[29, 0]",1,2,1,0
45,"[30, 0]",1,2,1,0
46,"[31, 0]",1,158,64,0
47,"[32, 0]",1,0,0,0
48,"[32, 1]",2,0,0,-1
49,"[32, 2]",64,158,64,-1
50,"[33, 0]",1,2,1,0
51,"[34, 0]",1,0,0,0
52,"[34, 1]",2,0,0,0
53,"[34, 2]",15,158,64,0
54,"[35, 0]",1,0,0,0
55,"[35, 1]",2,158,64,-1
56,"[36, 0]",1,75,32,0
57,"[37, 0]",1,0,0,0
58,"[37, 1]",2,0,0,0
59,"[37, 2]",16,158,64,0
60,"[38, 0]",1,57,26,0
61,"[39, 0]",1,41,18,0
62,"[40, 0]",1,41,18,0
63,"[41, 0]",1,0,0,0
64,"[41, 1]",2,0,0,0
65,"[41, 2]",15,2,1,-1
66,"[42, 0]",1,2,1,0
67,"[43, 0]",1,2,1,0
68,"[44, 0]",1,2,1,0
69,"[45, 0]",1,0,0,0
70,"[45, 1]",2,0,0,0
71,"[45, 2]",24,158,64,1
72,"[46, 0]",1,57,26,0
73,"[47, 0]",1,2,1,0
74,"[48, 0]",1,2,1,0
75,"[49, 0]",1,41,18,0
76,"[50, 0]",1,0,0,0
77,"[50, 1]",3,2,1,0
78,"[50, 2]",2,41,18,0
79,"[51, 0]",1,59,28,1
80,"[52, 0]",1,2,1,0
81,"[53, 0]",1,55,26,0
82,"[54, 0]",1,158,64,0
83,"[55, 0]",1,0,0,0
84,"[55, 1]",2,158,64,0
85,"[56, 0]",1,2,1,0
86,"[57, 0]",1,41,18,0
87,"[58, 0]",1,0,0,0
88,"[58, 1]",2,2,1,0
89,"[59, 0]",1,158,64,1
90,"[60, 0]",1,0,0,0
91,"[60, 1]",2,0,0,4
92,"[60, 2]",49,57,26,0
93,"[61, 0]",1,0,0,0
94,"[61, 1]",2,0,0,-1
95,"[61, 2]",15,158,64,-1
96,"[62, 0]",1,0,0,0
97,"[62, 1]",2,158,64,0
98,"[63, 0]",1,0,0,0
99,"[63, 1]",2,0,0,-1
100,"[63, 2]",16,158,64,-1
101,"[64, 0]",1,158,64,0
102,"[65, 0]",1,41,18,0
103,"[66, 0]",1,0,0,0
104,"[66, 1]",2,0,0,0
105,"[66, 2]",49,158,64,-1
106,"[67, 0]",1,158,64,0
107,"[68, 0]",1,2,1,0
108,"[69, 0]",1,0,0,0
109,"[69, 1]",2,41,18,22
110,"[70, 0]",1,0,0,0
111,"[70, 1]",2,158,64,0
112,"[71, 0]",1,0,0,0
113,"[71, 1]",9,2,1,0
114,"[71, 2]",6,0,0,0
115,"[71, 3]",5,0,0,0
116,"[71, 4]",3,0,0,0
117,"[71, 5]",2,0,0,0
118,"[71, 6]",41,0,0,0
119,"[71, 7]",37,0,0,0
120,"[71, 8]",33,2,1,0
121,"[71, 9]",30,41,18,0
122,"[71, 10]",98,0,0,0
123,"[71, 11]",73,156,64,0
124,"[71, 12]",71,0,0,0
125,"[71, 13]",70,0,0,0
126,"[71, 14]",259,0,0,0
127,"[71, 15]",256,2,1,0
128,"[71, 16]",241,0,0,0
129,"[71, 17]",353,2,1,0
130,"[71, 18]",289,2,1,0
131,"[72, 0]",1,41,18,0
132,"[73, 0]",1,158,64,0
133,"[74, 0]",1,0,0,0
134,"[74, 1]",2,2,1,0
135,"[75, 0]",1,0,0,0
136,"[75, 1]",2,0,0,0
137,"[75, 2]",35,41,18,0
138,"[76, 0]",1,0,0,1
139,"[76, 1]",5,158,64,0
140,"[76, 2]",4,158,64,0
141,"[76, 3]",2,0,0,0
142,"[76, 4]",37,158,64,0
143,"[76, 5]",36,0,0,0
144,"[76, 6]",35,0,0,0
145,"[76, 7]",67,41,18,0
146,"[76, 8]",64,0,0,0
147,"[76, 9]",300,2,1,7
148,"[77, 0]",1,2,1,0
149,"[78, 0]",1,156,64,0
150,"[79, 0]",1,158,64,0
151,"[80, 0]",1,0,0,0
152,"[80, 1]",5,59,28,4
153,"[80, 2]",3,158,64,-1
154,"[81, 0]",1,0,0,0
155,"[81, 1]",2,0,0,-1
156,"[81, 2]",16,41,18,8
157,"[82, 0]",1,0,0,0
158,"[82, 1]",4,0,0,0
159,"[82, 2]",3,0,0,0
160,"[82, 3]",2,0,0,0
161,"[82, 4]",50,0,0,0
162,"[82, 5]",49,0,0,0
163,"[82, 6]",42,2,1,0
164,"[82, 7]",37,158,64,0
165,"[82, 8]",77,0,0,0
166,"[82, 9]",75,0,0,0
167,"[82, 10]",70,156,64,0
168,"[82, 11]",298,2,1,0
169,"[82, 12]",287,158,64,0
170,"[83, 0]",1,158,64,0
171,"[84, 0]",1,2,1,0
172,"[85, 0]",1,158,64,0
173,"[86, 0]",1,2,1,0
174,"[87, 0]",1,0,0,0
175,"[87, 1]",2,0,0,3
176,"[87, 2]",36,158,64,9
177,"[88, 0]",1,158,64,0
178,"[89, 0]",1,51,24,0
179,"[90, 0]",1,64,29,0
180,"[91, 0]",1,0,0,0
181,"[91, 1]",2,41,18,0
182,"[92, 0]",1,0,0,0
183,"[92, 1]",4,0,0,0
184,"[92, 2]",2,0,0,0
185,"[92, 3]",42,0,0,0
186,"[92, 4]",27,2,1,6
187,"[92, 5]",85,0,0,0
188,"[92, 6]",84,158,64,0
189,"[92, 7]",143,57,26,0
190,"[93, 0]",1,0,0,0
191,"[93, 1]",2,0,0,0
192,"[93, 2]",34,158,64,0
193,"[94, 0]",1,2,1,0
194,"[95, 0]",1,0,0,0
195,"[95, 1]",2,156,64,38
196,"[96, 0]",1,0,0,0
197,"[96, 1]",3,0,0,0
198,"[96, 2]",48,2,1,0
199,"[97, 0]",1,158,64,0
200,"[98, 0]",1,0,0,0
201,"[98, 1]",2,2,1,0
202,"[99, 0]",1,63,28,1
203,"[100, 0]",1,0,0,0
204,"[100, 1]",2,0,0,0
205,"[100, 2]",68,41,18,0
206,"[101, 0]",1,2,1,0
207,"[102, 0]",1,2,1,1
208,"[103, 0]",1,41,18,0
209,"[104, 0]",1,0,0,0
210,"[104, 1]",2,2,1,0
211,"[105, 0]",1,57,26,0
212,"[106, 0]",1,158,64,1
213,"[107, 0]",1,2,1,0
214,"[108, 0]",1,0,0,0
215,"[108, 1]",2,2,1,0
216,"[109, 0]",1,0,0,0
217,"[109, 1]",2,158,64,0
218,"[110, 0]",1,156,64,0
219,"[111, 0]",1,41,18,0
220,"[112, 0]",1,2,1,0
221,"[113, 0]",1,0,0,0
222,"[113, 1]",2,0,0,0
223,"[113, 2]",11,57,26,6
224,"[114, 0]",1,0,0,0
225,"[114, 1]",2,41,18,0
226,"[115, 0]",1,0,0,0
227,"[115, 1]",3,41,18,0
228,"[115, 2]",2,0,0,0
229,"[115, 3]",41,2,1,2
230,"[116, 0]",1,2,1,0
231,"[117, 0]",1,0,0,0
232,"[117, 1]",2,156,64,0
233,"[118, 0]",1,2,1,0
234,"[119, 0]",1,0,0,0
235,"[119, 1]",2,0,0,0
236,"[119, 2]",29,53,24,0
237,"[120, 0]",1,2,1,0
238,"[121, 0]",1,0,0,0
239,"[121, 1]",2,63,28,0
240,"[122, 0]",1,2,1,0
241,"[123, 0]",1,0,0,0
242,"[123, 1]",2,0,0,0
243,"[123, 2]",14,156,64,0
244,"[124, 0]",1,0,0,1
245,"[124, 1]",2,0,0,0
246,"[124, 2]",66,158,64,0
247,"[124, 3]",64,2,1,0
248,"[124, 4]",61,0,0,0
