# [LF, 4, 225.5, 13.5, 11, 32.72727272727273, 9.7, 120.9, 300.0, 42.0, 10231269.68] # mode design r d Npanels angle L H z V
,nidx,tid,nC_A,nC_Z,cross_cryo
0,"[0, 0]",1,158,64,1
1,"[1, 0]",1,0,0,0
2,"[1, 1]",2,2,1,0
3,"[2, 0]",1,0,0,0
4,"[2, 1]",2,2,1,0
5,"[3, 0]",1,2,1,0
6,"[4, 0]",1,0,0,0
7,"[4, 1]",2,2,1,0
8,"[5, 0]",1,2,1,0
9,"[6, 0]",1,0,0,0
10,"[6, 1]",2,41,18,0
11,"[7, 0]",1,0,0,0
12,"[7, 1]",4,158,64,0
13,"[7, 2]",3,2,1,0
14,"[7, 3]",2,158,64,0
15,"[8, 0]",1,0,0,0
16,"[8, 1]",2,2,1,0
17,"[9, 0]",1,2,1,0
18,"[10, 0]",1,158,64,0
19,"[11, 0]",1,41,18,0
20,"[12, 0]",1,55,26,0
21,"[13, 0]",1,158,64,0
22,"[14, 0]",1,2,1,0
23,"[15, 0]",1,0,0,0
24,"[15, 1]",3,0,0,0
25,"[15, 2]",2,0,0,0
26,"[15, 3]",28,158,64,-1
27,"[15, 4]",24,0,0,0
28,"[15, 5]",93,2,1,4
29,"[16, 0]",1,0,0,0
30,"[16, 1]",5,0,0,0
31,"[16, 2]",4,0,0,0
32,"[16, 3]",2,0,0,0
33,"[16, 4]",52,0,0,0
34,"[16, 5]",35,41,18,0
35,"[16, 6]",32,0,0,0
36,"[16, 7]",143,0,0,0
37,"[16, 8]",74,0,0,0
38,"[16, 9]",245,158,64,0
39,"[16, 10]",168,158,64,1
40,"[17, 0]",1,2,1,0
41,"[18, 0]",1,37,18,0
42,"[19, 0]",1,158,64,0
43,"[20, 0]",1,0,0,0
44,"[20, 1]",2,0,0,0
45,"[20, 2]",30,41,18,0
46,"[21, 0]",1,0,0,0
47,"[21, 1]",2,156,64,0
48,"[22, 0]",1,0,0,0
49,"[22, 1]",2,0,0,0
50,"[22, 2]",20,2,1,0
51,"[23, 0]",1,0,0,0
52,"[23, 1]",2,2,1,0
53,"[24, 0]",1,0,0,0
54,"[24, 1]",3,41,18,0
55,"[25, 0]",1,2,1,0
56,"[26, 0]",1,0,0,0
57,"[26, 1]",2,57,26,4
58,"[27, 0]",1,0,0,0
59,"[27, 1]",4,0,0,0
60,"[27, 2]",3,41,18,0
61,"[27, 3]",2,0,0,0
62,"[27, 4]",43,41,18,0
63,"[27, 5]",35,2,1,0
64,"[28, 0]",1,0,0,0
65,"[28, 1]",5,156,64,0
66,"[28, 2]",4,57,26,0
67,"[28, 3]",2,0,0,0
68,"[28, 4]",24,0,0,0
69,"[28, 5]",41,2,1,0
70,"[29, 0]",1,0,0,0
71,"[29, 1]",4,2,1,0
72,"[29, 2]",2,0,0,0
73,"[29, 3]",35,158,64,1
74,"[29, 4]",34,158,64,1
75,"[29, 5]",33,0,0,-1
76,"[29, 6]",49,0,0,-1
77,"[29, 7]",79,57,26,61
78,"[30, 0]",1,158,64,1
79,"[31, 0]",1,0,0,0
80,"[31, 1]",7,41,18,0
81,"[31, 2]",6,0,0,0
82,"[31, 3]",5,0,0,0
83,"[31, 4]",3,0,0,0
84,"[31, 5]",2,0,0,0
85,"[31, 6]",55,0,0,0
86,"[31, 7]",54,0,0,0
87,"[31, 8]",35,41,18,0
88,"[31, 9]",30,2,1,0
89,"[31, 10]",91,2,1,0
90,"[31, 11]",89,0,0,0
91,"[31, 12]",88,2,1,0
92,"[31, 13]",84,41,18,0
93,"[31, 14]",82,0,0,0
94,"[31, 15]",291,0,0,0
95,"[31, 16]",263,158,64,0
96,"[31, 17]",325,41,18,0
97,"[32, 0]",1,2,1,0
98,"[33, 0]",1,0,0,0
99,"[33, 1]",2,57,26,0
100,"[34, 0]",1,0,0,0
101,"[34, 1]",2,41,18,0
102,"[35, 0]",1,158,64,0
103,"[36, 0]",1,0,0,0
104,"[36, 1]",2,41,18,0
105,"[37, 0]",1,2,1,0
106,"[38, 0]",1,2,1,0
107,"[39, 0]",1,0,0,0
108,"[39, 1]",4,0,0,0
109,"[39, 2]",2,0,0,0
110,"[39, 3]",47,0,0,0
111,"[39, 4]",46,2,1,0
112,"[39, 5]",31,2,1,0
113,"[39, 6]",67,41,18,0
114,"[40, 0]",1,0,0,0
115,"[40, 1]",2,2,1,0
116,"[41, 0]",1,158,64,0
117,"[42, 0]",1,2,1,0
118,"[43, 0]",1,158,64,0
119,"[44, 0]",1,0,0,0
120,"[44, 1]",2,57,26,0
121,"[45, 0]",1,41,18,0
122,"[46, 0]",1,158,64,0
123,"[47, 0]",1,41,18,0
124,"[48, 0]",1,0,0,0
