# [LF, 4, 104.0, 3.0, 200.0, 1.8, 40.0, 60.0, 300.0, 42.0, 11015808.57] # mode design r d Npanels angle L H z V
,nidx,tid,nC_A,nC_Z,cross_cryo
0,"[0, 0]",1,41,18,0
1,"[1, 0]",1,2,1,0
2,"[2, 0]",1,158,64,0
3,"[3, 0]",1,158,64,0
4,"[4, 0]",1,0,0,0
5,"[4, 1]",2,158,64,0
6,"[5, 0]",1,158,64,0
7,"[6, 0]",1,0,0,0
8,"[6, 1]",2,2,1,0
9,"[7, 0]",1,2,1,0
10,"[8, 0]",1,158,64,0
11,"[9, 0]",1,0,0,0
12,"[9, 1]",2,0,0,0
13,"[9, 2]",26,57,26,1
14,"[10, 0]",1,0,0,0
15,"[10, 1]",2,0,0,0
16,"[10, 2]",71,158,64,0
17,"[11, 0]",1,0,0,0
18,"[11, 1]",2,41,18,0
19,"[12, 0]",1,158,64,0
20,"[13, 0]",1,41,18,0
21,"[14, 0]",1,158,64,0
22,"[15, 0]",1,57,26,0
23,"[16, 0]",1,2,1,0
24,"[17, 0]",1,0,0,0
25,"[17, 1]",2,57,26,0
26,"[18, 0]",1,158,64,0
27,"[19, 0]",1,158,64,0
28,"[20, 0]",1,158,64,0
29,"[21, 0]",1,0,0,0
30,"[21, 1]",3,158,64,0
31,"[21, 2]",2,158,64,0
32,"[22, 0]",1,54,24,0
33,"[23, 0]",1,0,0,0
34,"[23, 1]",2,2,1,4
35,"[24, 0]",1,0,0,0
36,"[24, 1]",2,41,18,0
37,"[25, 0]",1,156,64,0
38,"[26, 0]",1,0,0,0
39,"[26, 1]",3,2,1,0
40,"[26, 2]",2,0,0,0
41,"[26, 3]",28,0,0,0
42,"[26, 4]",51,0,0,0
43,"[26, 5]",50,158,64,0
44,"[26, 6]",95,156,64,2
45,"[27, 0]",1,2,1,0
46,"[28, 0]",1,0,0,0
47,"[28, 1]",2,158,64,0
48,"[29, 0]",1,158,64,0
49,"[30, 0]",1,2,1,0
50,"[31, 0]",1,57,26,0
51,"[32, 0]",1,0,0,0
52,"[32, 1]",2,0,0,-1
53,"[32, 2]",64,158,64,-1
54,"[33, 0]",1,2,1,0
55,"[34, 0]",1,0,0,0
56,"[34, 1]",2,0,0,0
57,"[34, 2]",15,54,24,0
58,"[35, 0]",1,0,0,0
59,"[35, 1]",2,158,64,-1
60,"[36, 0]",1,75,32,0
61,"[37, 0]",1,0,0,0
62,"[37, 1]",2,0,0,0
63,"[37, 2]",16,158,64,0
64,"[38, 0]",1,57,26,0
65,"[39, 0]",1,158,64,0
66,"[40, 0]",1,2,1,0
67,"[41, 0]",1,0,0,0
68,"[41, 1]",2,0,0,0
69,"[41, 2]",15,2,1,-1
70,"[42, 0]",1,2,1,0
71,"[43, 0]",1,2,1,0
72,"[44, 0]",1,2,1,0
73,"[45, 0]",1,0,0,0
74,"[45, 1]",2,0,0,0
75,"[45, 2]",24,158,64,1
76,"[46, 0]",1,57,26,0
77,"[47, 0]",1,2,1,0
78,"[48, 0]",1,2,1,0
79,"[49, 0]",1,158,64,0
80,"[50, 0]",1,0,0,0
81,"[50, 1]",3,2,1,0
82,"[50, 2]",2,41,18,0
83,"[51, 0]",1,59,28,1
84,"[52, 0]",1,158,64,0
85,"[53, 0]",1,37,18,0
86,"[54, 0]",1,158,64,0
87,"[55, 0]",1,0,0,0
88,"[55, 1]",2,158,64,0
89,"[56, 0]",1,2,1,0
90,"[57, 0]",1,41,18,0
91,"[58, 0]",1,0,0,0
92,"[58, 1]",2,41,18,0
93,"[59, 0]",1,158,64,1
94,"[60, 0]",1,0,0,0
95,"[60, 1]",2,0,0,4
96,"[60, 2]",49,57,26,0
97,"[61, 0]",1,0,0,0
98,"[61, 1]",2,0,0,-1
99,"[61, 2]",15,158,64,-1
100,"[62, 0]",1,0,0,0
101,"[62, 1]",2,158,64,0
102,"[63, 0]",1,0,0,0
103,"[63, 1]",2,0,0,-1
104,"[63, 2]",16,158,64,-1
105,"[64, 0]",1,41,18,0
106,"[65, 0]",1,2,1,0
107,"[66, 0]",1,0,0,0
108,"[66, 1]",2,0,0,0
109,"[66, 2]",49,158,64,-1
110,"[67, 0]",1,158,64,0
111,"[68, 0]",1,41,18,0
112,"[69, 0]",1,0,0,0
113,"[69, 1]",2,41,18,22
114,"[70, 0]",1,0,0,0
115,"[70, 1]",2,158,64,0
116,"[71, 0]",1,0,0,0
117,"[71, 1]",9,2,1,0
118,"[71, 2]",6,0,0,0
119,"[71, 3]",5,2,1,0
120,"[71, 4]",3,0,0,0
121,"[71, 5]",2,0,0,0
122,"[71, 6]",55,41,18,0
123,"[71, 7]",54,0,0,0
124,"[71, 8]",53,0,0,0
125,"[71, 9]",44,0,0,0
126,"[71, 10]",38,41,18,0
127,"[71, 11]",141,158,64,0
128,"[71, 12]",79,0,0,0
129,"[71, 13]",76,0,0,0
130,"[71, 14]",287,41,18,0
131,"[71, 15]",272,2,1,0
132,"[72, 0]",1,2,1,0
133,"[73, 0]",1,158,64,0
134,"[74, 0]",1,0,0,0
135,"[74, 1]",2,2,1,0
136,"[75, 0]",1,0,0,0
137,"[75, 1]",2,0,0,0
138,"[75, 2]",29,0,0,0
139,"[75, 3]",50,0,0,0
