# [LF, 3,  200.0,  10.0,  360, 0.0,  0.0,  3.5,  300.0,  42.0,  4702964.] # mode design r d npanels phi theta L H z V
,nidx,tid,nC_A,nC_Z,cross_cryo
0,"[0, 0]",1,41,18,0
1,"[1, 0]",1,2,1,0
2,"[2, 0]",1,41,18,0
3,"[3, 0]",1,158,64,0
4,"[4, 0]",1,0,0,0
5,"[4, 1]",2,158,64,0
6,"[5, 0]",1,158,64,0
7,"[6, 0]",1,0,0,0
8,"[6, 1]",2,57,26,0
9,"[7, 0]",1,2,1,0
10,"[8, 0]",1,41,18,0
11,"[9, 0]",1,0,0,0
12,"[9, 1]",2,0,0,0
13,"[9, 2]",26,57,26,1
14,"[10, 0]",1,0,0,0
15,"[10, 1]",2,0,0,0
16,"[10, 2]",71,158,64,0
17,"[11, 0]",1,0,0,0
18,"[11, 1]",2,41,18,0
19,"[12, 0]",1,158,64,0
20,"[13, 0]",1,2,1,0
21,"[14, 0]",1,2,1,0
22,"[15, 0]",1,41,18,0
23,"[16, 0]",1,2,1,0
24,"[17, 0]",1,2,1,0
25,"[18, 0]",1,156,64,0
26,"[19, 0]",1,37,18,0
27,"[20, 0]",1,158,64,0
28,"[21, 0]",1,0,0,0
29,"[21, 1]",3,158,64,0
30,"[21, 2]",2,41,18,0
31,"[22, 0]",1,41,18,0
32,"[23, 0]",1,0,0,0
33,"[23, 1]",2,2,1,4
34,"[24, 0]",1,2,1,0
35,"[25, 0]",1,2,1,0
36,"[26, 0]",1,0,0,0
37,"[26, 1]",3,41,18,0
38,"[26, 2]",2,0,0,0
39,"[26, 3]",31,0,0,0
40,"[26, 4]",30,2,1,0
41,"[26, 5]",73,158,64,0
42,"[27, 0]",1,2,1,0
43,"[28, 0]",1,0,0,0
44,"[28, 1]",2,158,64,0
45,"[29, 0]",1,41,18,0
46,"[30, 0]",1,2,1,0
47,"[31, 0]",1,2,1,0
48,"[32, 0]",1,0,0,0
49,"[32, 1]",2,0,0,-1
50,"[32, 2]",64,158,64,-1
51,"[33, 0]",1,2,1,0
52,"[34, 0]",1,0,0,0
53,"[34, 1]",2,41,18,0
54,"[35, 0]",1,41,18,0
55,"[36, 0]",1,75,32,0
56,"[37, 0]",1,0,0,0
57,"[37, 1]",2,0,0,0
58,"[37, 2]",16,158,64,0
59,"[38, 0]",1,57,26,0
60,"[39, 0]",1,41,18,0
61,"[40, 0]",1,158,64,0
62,"[41, 0]",1,0,0,0
63,"[41, 1]",2,0,0,0
64,"[41, 2]",15,2,1,-1
65,"[42, 0]",1,2,1,0
66,"[43, 0]",1,2,1,0
67,"[44, 0]",1,2,1,0
68,"[45, 0]",1,0,0,0
69,"[45, 1]",2,0,0,0
70,"[45, 2]",24,158,64,1
71,"[46, 0]",1,57,26,0
72,"[47, 0]",1,41,18,0
73,"[48, 0]",1,41,18,0
74,"[49, 0]",1,57,26,0
75,"[50, 0]",1,0,0,0
76,"[50, 1]",3,41,18,0
77,"[50, 2]",2,0,0,0
78,"[50, 3]",30,2,1,0
79,"[51, 0]",1,59,28,1
80,"[52, 0]",1,41,18,0
81,"[53, 0]",1,57,26,0
82,"[54, 0]",1,2,1,0
83,"[55, 0]",1,0,0,0
84,"[55, 1]",2,158,64,0
85,"[56, 0]",1,2,1,0
86,"[57, 0]",1,54,24,0
87,"[58, 0]",1,2,1,0
88,"[59, 0]",1,158,64,1
89,"[60, 0]",1,0,0,0
90,"[60, 1]",2,0,0,4
91,"[60, 2]",49,57,26,0
92,"[61, 0]",1,0,0,0
93,"[61, 1]",2,0,0,-1
94,"[61, 2]",15,158,64,-1
95,"[62, 0]",1,0,0,0
96,"[62, 1]",2,158,64,0
97,"[63, 0]",1,0,0,0
98,"[63, 1]",2,0,0,-1
99,"[63, 2]",16,158,64,-1
100,"[64, 0]",1,55,26,0
101,"[65, 0]",1,2,1,0
102,"[66, 0]",1,0,0,0
103,"[66, 1]",2,0,0,0
104,"[66, 2]",49,158,64,-1
105,"[67, 0]",1,158,64,0
106,"[68, 0]",1,41,18,0
107,"[69, 0]",1,0,0,0
108,"[69, 1]",2,41,18,22
109,"[70, 0]",1,0,0,0
110,"[70, 1]",2,158,64,0
111,"[71, 0]",1,0,0,0
112,"[71, 1]",9,41,18,0
113,"[71, 2]",6,0,0,0
114,"[71, 3]",5,0,0,0
115,"[71, 4]",3,0,0,0
116,"[71, 5]",2,0,0,0
117,"[71, 6]",54,0,0,0
118,"[71, 7]",53,0,0,0
119,"[71, 8]",52,0,0,0
120,"[71, 9]",47,0,0,0
121,"[71, 10]",46,0,0,0
122,"[71, 11]",42,0,0,0
123,"[71, 12]",39,2,1,0
124,"[71, 13]",126,41,18,0
125,"[71, 14]",111,41,18,0
126,"[71, 15]",108,2,1,0
127,"[71, 16]",84,41,18,0
128,"[71, 17]",80,0,0,0
129,"[71, 18]",76,2,1,0
130,"[71, 19]",282,41,18,0
131,"[72, 0]",1,2,1,0
132,"[73, 0]",1,41,18,0
133,"[74, 0]",1,0,0,0
134,"[74, 1]",2,2,1,0
135,"[75, 0]",1,0,0,0
136,"[75, 1]",5,41,18,0
137,"[75, 2]",4,0,0,0
138,"[75, 3]",3,0,0,0
139,"[75, 4]",2,0,0,0
