,radius[cm],mode,Ge-77[nevents],Ge-77_err[nevents],Ge77-Eff,Ge77-Eff_err,Ge77-Rate[nucleus/(kg yr)],Ge77-Rate_err[nucleus/(kg yr)],nprimaries,total_neutrons
0,0,LF,76,8.717797887081348,0.0005881852164289418,6.748931089541521e-05,0.022634857706768312,0.0026370579929313677,50000,129211
1,95,LF,42,6.48074069840786,0.0003342219392830144,5.158018231643064e-05,0.012861707208625698,0.002001849290752093,50000,125665
2,100,LF,41,6.4031242374328485,0.00032655011747839593,5.1006886405026764e-05,0.012566476063658289,0.001979202976016645,50000,125555
3,104,LF,56,7.483314773547883,0.0004444903045552319,5.9410714750005915e-05,0.017105113346318257,0.0023122099401250884,50000,125987
4,108,LF,42,6.48074069840786,0.0003348214285714286,5.167271646234644e-05,0.012884777075669233,0.002005440571056228,50000,125440
5,112,LF,45,6.708203932499369,0.00035912373807908704,5.354461802809375e-05,0.013819991532420453,0.002079337848476395,50000,125305
6,116,LF,43,6.557438524302,0.00034325034125469976,5.2354169288265264e-05,0.013209142996266401,0.002032294873073279,50000,125273
7,120,LF,40,6.324555320336759,0.00032114842677414434,5.078617776616397e-05,0.012358605316397714,0.0019702440364727943,50000,124553
8,124,LF,39,6.244997998398398,0.0003133184440124042,5.017896314335156e-05,0.012057287736988867,0.0019462970324369865,50000,124474
9,128,LF,50,7.0710678118654755,0.000402842456372162,5.698200044811546e-05,0.015502398604284675,0.0022150357506557678,50000,124118
10,132,LF,41,6.4031242374328485,0.0003309013429752066,5.168665701682534e-05,0.012733922247648313,0.0020055798136699022,50000,123904
11,136,LF,38,6.164414002968976,0.0003064540843071315,4.9721033923972525e-05,0.011793129779874192,0.0019281485625420606,50000,123999
12,140,LF,38,6.164414002968976,0.0003062120760372934,4.9681762973587664e-05,0.011783816688353627,0.0019266256648092473,50000,124097
13,144,LF,43,6.557438524302,0.00034781201973630994,5.3050059072463537e-05,0.013384687944441321,0.0020593079844822204,50000,123630
14,148,LF,42,6.48074069840786,0.00033903777849531806,5.232353255788616e-05,0.01304703290581166,0.0020306989544105814,50000,123880
15,152,LF,43,6.557438524302,0.00034727269790505724,5.296778468407058e-05,0.013363933473625694,0.0020561142500815648,50000,123822
16,156,LF,43,6.557438524302,0.0003482035128066013,5.310978198007341e-05,0.01339975358990761,0.002061626313511937,50000,123491
17,160,LF,48,6.928203230275509,0.00039000609384521635,5.630350696172425e-05,0.015008422844346465,0.0021877871049513727,50000,123075
18,164,LF,44,6.6332495807108,0.0003577933905802758,5.3949031851852856e-05,0.013768796389300455,0.0020946235860507096,50000,122976
