# LF noise: mean = 0.029127778000381188 +- 0.005128466534986805
,Sample,Mode,Design,Radius[cm],Thickness[cm],NPanels,Phi[deg],Theta[deg],Length[cm],Height[cm],ZPosition[cm],Volume[cm3],Ge-77[nevents],Ge-77_err[nevents],Ge77-Eff,Ge77-Eff_err,Ge77-Rate[nucleus/(kg yr)],Ge77-Rate_err[nucleus/(kg yr)],Ge77-Rate_err_stat[nucleus/(kg yr)],nprimaries,total_neutrons
0,0,HF,4.0,222.6,6.9,186.0,110.89505712209483,43.4,59.6,300.0,42.0,25230656.89,404,20.09975124224178,0.00035288773977149647,1.755991877232867e-05,0.14555471529049874,0.007814397901966686,0.007102772817988557,9850000,1144840
1,0,LF,4.0,222.6,6.9,186.0,110.89505712209483,43.4,59.6,300.0,42.0,25230656.89,45,6.708203932499369,0.0004168133232063133,6.214780961112991e-05,0.20640845819018286,0.031056462144730974,0.030598983542751097,50000,114520
2,1,HF,4.0,143.7,12.6,109.0,189.23376719917096,8.6,73.2,300.0,42.0,32093916.99,321,17.916472867168917,0.00025587557273083804,1.428340883212065e-05,0.11928416788690668,0.007079408172493168,0.006600938471991988,9550000,1254516
3,1,LF,4.0,143.7,12.6,109.0,189.23376719917096,8.6,73.2,300.0,42.0,32093916.99,32,5.656854249492381,0.0002797300604916256,4.945667147680415e-05,0.13841771882168893,0.024631295922979905,0.023864067521479,50000,121438
4,2,HF,4.0,242.2,10.7,66.0,312.52243370772175,6.4,22.3,300.0,42.0,9024407.2,476,21.817424229271428,0.00037117035627675586,1.7015722374076506e-05,0.17414714660381553,0.008721086287557878,0.008001034403575058,9700000,1282430
5,2,LF,4.0,242.2,10.7,66.0,312.52243370772175,6.4,22.3,300.0,42.0,9024407.2,33,5.744562646538029,0.00029141388719633346,5.073603737367597e-05,0.14493814772773306,0.025403075087276197,0.025349980084888365,50000,119599
6,3,HF,4.0,159.2,5.8,330.0,62.50448674154434,29.8,57.6,300.0,42.0,34066066.38,320,17.88854381999832,0.00025684842170658117,1.4360107101477414e-05,0.11768031154661981,0.006993864724533243,0.006600739862922392,9650000,1245871
7,3,LF,4.0,159.2,5.8,330.0,62.50448674154434,29.8,57.6,300.0,42.0,34066066.38,38,6.164414002968976,0.0003355497275866027,5.4442485451659053e-05,0.16584735818600962,0.027115770867974644,0.02631924201648467,50000,120357
8,4,HF,4.0,116.2,1.1,52.0,396.6630889367238,39.6,35.7,300.0,42.0,707709.39,758,27.53179979587241,0.0005154877547856033,1.872818360235088e-05,0.27035055743406405,0.01123275835169792,0.009718667840695687,9950000,1470452
9,4,LF,4.0,116.2,1.1,52.0,396.6630889367238,39.6,35.7,300.0,42.0,707709.39,89,9.433981132056603,0.0007423719199906578,7.872046981080763e-05,0.3672409441490205,0.039640637374250165,0.03941210374697611,50000,127302
10,5,HF,4.0,190.7,4.6,338.0,61.02509060564982,21.6,46.5,300.0,42.0,22791867.57,448,21.166010488516726,0.0003388707435035907,1.6012850202190292e-05,0.1614072090350085,0.00829198130864517,0.007650902078087485,9850000,1322038
11,5,LF,4.0,190.7,4.6,338.0,61.02509060564982,21.6,46.5,300.0,42.0,22791867.57,45,6.708203932499369,0.00039689189546749455,5.9176890451886574e-05,0.19627098959554737,0.029530886840785746,0.029222291089707877,50000,120435
