# LF noise: mean = 0.0022628192034284005 +- 0.00024368952720959624
,Mode,Design,Radius[cm],Thickness[cm],NPanels,Angle[deg],Length[cm],Height[cm],ZPosition[cm],Volume[cm3],Ge-77[nevents],Ge-77_err[nevents],Ge77-Eff,Ge77-Eff_err,Ge77-Rate[nucleus/(kg yr)],Ge77-Rate_err[nucleus/(kg yr)],Ge77-Rate_err_stat[nucleus/(kg yr)],nprimaries,total_neutrons
0,LF,4.0,174.0,5.5,40,14.0,91.0,300.0,42.0,7119451.91,40,6.324555320336759,0.0003488270689805529,5.5164021210467345e-05,0.012640017802375468,0.002015114863450017,0.002027887470264607,50000,121780
1,LF,4.0,187.0,11.4,7,4.0,87.1,300.0,42.0,4904647.75,42,6.48074069840786,0.00036270056477659374,5.597606069201426e-05,0.013159528389867765,0.0020482112005121914,0.002086340021925682,50000,122821
2,LF,4.0,217.0,3.2,26,-19.0,14.1,300.0,42.0,1326845.89,59,7.681145747868608,0.0004956150666980277,6.453957324908442e-05,0.017980783687282963,0.0023694202645393875,0.0023340561222624998,50000,126272
3,LF,4.0,126.0,14.2,9,-39.0,53.9,300.0,42.0,3820262.09,46,6.782329983125268,0.00039028032308423266,5.755492227469383e-05,0.014151044208463118,0.002106307692081327,0.0020862328537266084,50000,125093
4,LF,4.0,112.0,10.0,33,-28.0,16.1,300.0,42.0,2529089.3,44,6.6332495807108,0.0003715149365891551,5.601838696605551e-05,0.013469989059780219,0.0020491587222873846,0.0020105899426428792,50000,125704
5,LF,4.0,142.0,12.0,6,3.0,36.8,300.0,42.0,2583024.27,59,7.681145747868608,0.0004974998524364845,6.478507327350223e-05,0.01804652590977486,0.002378085437735016,0.002366714555815378,50000,125812
6,LF,4.0,178.0,3.6,6,-10.0,79.4,300.0,42.0,1260469.45,62,7.874007874011811,0.0005197679487609402,6.602774837059042e-05,0.018847000018631144,0.002424206815954976,0.002401069476598537,50000,126594
7,LF,4.0,135.0,1.6,6,34.0,70.3,300.0,42.0,390050.36,95,9.746794344808963,0.0007894037093664827,8.1023072722273e-05,0.028612221370382794,0.0029929200684346326,0.00293339537264908,50000,127772
8,LF,4.0,244.0,10.6,5,-18.0,4.0,300.0,42.0,4380803.62,47,6.855654600401044,0.000400979413546279,5.850058398662152e-05,0.014556773499948564,0.0021439641433600226,0.0021094342852716152,50000,124250
9,LF,4.0,228.0,9.0,10,-31.0,52.7,300.0,42.0,4599182.12,49,7.0,0.0004215380115449798,6.0232407047346996e-05,0.01529760656612858,0.0022075188966073148,0.0021935383480740393,50000,123264
10,LF,4.0,163.0,3.9,7,4.0,47.3,300.0,42.0,1069972.64,65,8.06225774829855,0.0005443886097152428,6.754147362108801e-05,0.019738993410430606,0.0024811625698598207,0.0024448043904214847,50000,126722
11,LF,4.0,153.0,13.2,5,41.0,45.4,300.0,42.0,3189871.2,44,6.6332495807108,0.0003729414058195811,5.6233515329762914e-05,0.013519569994096379,0.0020567026579099254,0.0020303194053354584,50000,125243
12,LF,4.0,236.0,9.8,9,34.0,94.4,300.0,42.0,6218053.23,50,7.0710678118654755,0.0004336588665891863,6.134192146702288e-05,0.015746104323073443,0.0022498642365337248,0.0022787694837891046,50000,122197
13,LF,4.0,127.0,5.2,5,-23.0,12.9,300.0,42.0,671633.17,72,8.48528137423857,0.0005975649229390235,7.044473975933356e-05,0.021647947608440528,0.00258910875771205,0.002538609713979305,50000,127991
14,LF,4.0,151.0,6.6,7,-15.0,20.5,300.0,42.0,1314127.64,67,8.18535277187245,0.0005593915156170422,6.83596625302824e-05,0.020285995887892518,0.002512587143698752,0.0024412369097127702,50000,127099
15,LF,4.0,122.0,13.3,30,10.0,5.1,300.0,42.0,2140243.39,56,7.483314773547883,0.0004724024193752478,6.314233765678538e-05,0.017113942878628025,0.0023134037450628325,0.002289147143139637,50000,125922
16,LF,4.0,121.0,6.9,45,9.0,28.4,300.0,42.0,3354662.16,44,6.6332495807108,0.0003723732872944542,5.614783632700944e-05,0.01349704671723538,0.002053275650903334,0.0020442492524315866,50000,125452
17,LF,4.0,206.0,4.9,9,-21.0,7.8,300.0,42.0,1472590.17,67,8.18535277187245,0.0005609041439933026,6.854456299041293e-05,0.020345865388480974,0.002520004380055333,0.0024395358204620013,50000,126725
18,LF,4.0,106.0,2.4,6,-11.0,22.6,300.0,42.0,274826.27,81,9.0,0.000670402158529419,7.451409337844499e-05,0.024283551753212798,0.0027431907233393823,0.002696595212171337,50000,128362
19,LF,4.0,235.0,11.5,8,-16.0,87.6,300.0,42.0,6808235.48,40,6.324555320336759,0.00034594295400688425,5.4707844199537014e-05,0.012566033192431523,0.0020033180896899404,0.0019783849248846694,50000,122497
20,LF,4.0,229.0,3.7,6,45.0,21.9,300.0,42.0,1404705.09,67,8.18535277187245,0.000563399231422541,6.884955775616759e-05,0.020432772188319237,0.0025307712891593564,0.002506046565257028,50000,126186
21,LF,4.0,254.0,5.5,6,17.0,14.9,300.0,42.0,2474621.98,59,7.681145747868608,0.000500317998728005,6.515214768133766e-05,0.018146335659851298,0.0023912409191506707,0.0023970408174814645,50000,125120
22,LF,4.0,113.0,4.0,11,20.0,11.6,300.0,42.0,497162.09,83,9.1104335791443,0.0006901885129347979,7.578417052772428e-05,0.02499667659431178,0.002790645142095044,0.002710254239432609,50000,127779
23,LF,4.0,184.0,10.2,5,16.0,41.3,300.0,42.0,3048900.25,53,7.280109889280518,0.00044887484861060533,6.167153909087131e-05,0.01627142502464839,0.002259533157624655,0.0022275883102680295,50000,125347
24,LF,4.0,235.0,10.0,16,25.0,40.2,300.0,42.0,5701081.98,44,6.6332495807108,0.00038000155455181407,5.7298273442024793e-05,0.013806293967569126,0.0021003290337846137,0.002084471133159163,50000,122642
25,LF,4.0,131.0,14.4,5,-24.0,29.4,300.0,42.0,2547847.09,55,7.416198487095663,0.0004613861718369881,6.222764924176217e-05,0.016734182328931577,0.0022820749810117066,0.0022608374629758997,50000,126480
26,LF,4.0,186.0,4.1,18,11.0,27.9,300.0,42.0,1548659.44,78,8.831760866327848,0.0006576617594981535,7.44900131927975e-05,0.023847504270727307,0.002743610840249079,0.0026973488663873234,50000,125868
27,LF,4.0,241.0,6.2,4,-11.0,46.4,300.0,42.0,2725717.67,57,7.54983443527075,0.0004839161551588009,6.411176729365683e-05,0.017560257534139204,0.0023533025492053347,0.0022857894057687757,50000,124913
28,LF,4.0,255.0,3.3,21,33.0,61.5,300.0,42.0,2661968.59,64,8.0,0.000543759929990909,6.798846841626065e-05,0.01977996200232307,0.0025051652935105355,0.0025330149934449085,50000,124514
29,LF,4.0,140.0,2.5,6,-41.0,110.3,300.0,42.0,815319.83,60,7.745966692414834,0.000501546434840759,6.47656016877395e-05,0.01818287240193666,0.002376478248395653,0.0023160713108224436,50000,126985
30,LF,4.0,119.0,1.3,6,24.0,11.3,300.0,42.0,144652.07,91,9.539392014169456,0.0007504535708395184,7.869842304363877e-05,0.027168286400298086,0.0029013369534078874,0.0028381715174774736,50000,128897
31,LF,4.0,219.0,6.8,6,-38.0,35.6,300.0,42.0,2614139.12,63,7.937253933193772,0.0005353592005302606,6.746697165033722e-05,0.01941165832272105,0.002477450710014635,0.002473347535407449,50000,124894
32,LF,4.0,224.0,3.5,5,-27.0,95.0,300.0,42.0,1636929.38,51,7.14142842854285,0.0004288885898815931,6.006929244279929e-05,0.01556057976615584,0.002201884546767757,0.002170562533916023,50000,126127
33,LF,4.0,251.0,12.3,11,13.0,79.0,300.0,42.0,8564412.47,44,6.6332495807108,0.0003856908687686819,5.815629815033348e-05,0.01405684652296783,0.0021384520227356795,0.0020947253921293086,50000,120456
34,LF,4.0,179.0,12.2,5,24.0,118.4,300.0,42.0,4969025.47,39,6.244997998398398,0.0003359520363861898,5.380441492838482e-05,0.012179894934905188,0.001966091466473689,0.001978710718674003,50000,123221
35,LF,4.0,145.0,4.8,10,-45.0,25.4,300.0,42.0,1042535.66,72,8.48528137423857,0.0006019865556335909,7.096614663922551e-05,0.02182615019261664,0.0026104277724187746,0.0025426272776718868,50000,126946
36,LF,4.0,101.0,12.1,9,24.0,104.3,300.0,42.0,4379982.88,37,6.082762530298219,0.0003158775419604897,5.193814911539085e-05,0.011433086811858936,0.0018939857103016456,0.0018672900556655277,50000,124538
37,LF,4.0,110.0,6.0,14,-10.0,92.9,300.0,42.0,2848359.25,42,6.48074069840786,0.00035651834371763747,5.5021780273747145e-05,0.012917936958486776,0.0020106025652417542,0.0019736555380883425,50000,125118
38,LF,4.0,171.0,2.9,12,-43.0,70.7,300.0,42.0,1289140.27,56,7.483314773547883,0.00047089293071987757,6.294052862936851e-05,0.017088430062347143,0.0023099542622891695,0.002290513859710154,50000,126110
39,LF,4.0,113.0,1.9,5,22.0,93.9,300.0,42.0,425221.28,87,9.327379053088816,0.0007201092579563796,7.723160877964733e-05,0.026099005888228045,0.002848221180709628,0.0027872133756604188,50000,128280
40,LF,4.0,205.0,9.3,6,-27.0,113.3,300.0,42.0,4580176.35,47,6.855654600401044,0.00040460387558861253,5.90294790281967e-05,0.014669287228145122,0.0021605385919918505,0.0021385944845534813,50000,123297
41,LF,4.0,222.0,6.1,90,-39.0,72.9,300.0,42.0,14000791.25,53,7.280109889280518,0.00048067330539986575,6.604142275958469e-05,0.017479318786173044,0.002427304725008955,0.002443940046761887,50000,116685
42,LF,4.0,183.0,14.1,28,-21.0,81.7,300.0,42.0,13118241.8,35,5.916079783099616,0.00031611557185306946,5.344172898675604e-05,0.0114461273453041,0.0019487865286784087,0.0019082133112618646,50000,117672
43,LF,4.0,119.0,5.6,4,-26.0,119.8,300.0,42.0,1351321.76,76,8.717797887081348,0.000637028096291826,7.309540489927037e-05,0.02307051769844239,0.0026878289990303022,0.002641651886791247,50000,126771
44,LF,4.0,95.0,9.1,6,-29.0,97.5,300.0,42.0,2216666.14,65,8.06225774829855,0.0005439193995129829,6.748324359577187e-05,0.0197280958022319,0.0024797924145812237,0.002392710515584488,50000,126792
45,LF,4.0,137.0,7.9,8,12.0,53.2,300.0,42.0,2050854.39,51,7.14142842854285,0.0004300640036428951,6.0233953967330265e-05,0.015586159817073836,0.002205504944539934,0.0022084181102446847,50000,125920
46,LF,4.0,192.0,5.2,4,8.0,45.9,300.0,42.0,1556981.43,64,8.0,0.0005378512841199408,6.724948833476406e-05,0.01950457891501881,0.0024702789548521503,0.002436163990504279,50000,126272
47,LF,4.0,246.0,5.9,10,10.0,93.1,300.0,42.0,4000145.66,62,7.874007874011811,0.0005336730477895606,6.779462769122119e-05,0.019401485821287003,0.002495545415990465,0.0024458923976798416,50000,122976
