# LF noise: mean = 0.002058237853827891 +- 0.00025716106577061736
,Mode,Design,Radius[cm],Thickness[cm],NPanels,Angle[deg],Theta_deg,Length[cm],Height[cm],ZPosition[cm],Volume[cm3],Ge-77[nevents],Ge-77_err[nevents],Ge77-Eff,Ge77-Eff_err,Ge77-Rate[nucleus/(kg yr)],Ge77-Rate_err[nucleus/(kg yr)],Ge77-Rate_err_stat[nucleus/(kg yr)],nprimaries,total_neutrons
0,LF,4.0,124.0,16.0,196,1.836734693877551,18.0,3.0,300.0,42.0,4792806.91,21,4.58257569495584,0.0003014166582939817,6.578441927412892e-05,0.01092012888743817,0.0023934814034039208,0.002422672550412333,50000,74004
1,LF,4.0,200.0,7.0,230,1.565217391304348,27.0,134.0,300.0,42.0,66606597.45,41,6.4031242374328485,0.0003910049781609415,6.107665549424417e-05,0.014138608726030222,0.0022268564666905956,0.0021960303024714466,50000,111594
2,LF,4.0,139.0,8.0,95,3.789473684210526,4.0,17.0,300.0,42.0,4962186.81,31,5.5677643628300215,0.0002638836868807246,4.7401162241365534e-05,0.009566398243661303,0.0017292094765964869,0.0017350460109606357,50000,124703
3,LF,4.0,198.0,7.0,357,1.0084033613445378,28.0,45.0,300.0,42.0,35584856.04,40,6.324555320336759,0.0003583683489074245,5.6673163398475676e-05,0.012964721367584305,0.0020668887933739674,0.002054163983654854,50000,118730
4,LF,4.0,116.0,11.0,67,5.373134328358209,7.0,144.0,300.0,42.0,32953156.45,29,5.385164807134504,0.0002543458050483257,4.723683638225668e-05,0.009202400321431421,0.0017191162579366585,0.0017022247924527226,50000,121272
5,LF,4.0,130.0,3.0,271,1.3284132841328413,29.0,149.0,300.0,42.0,36674529.79,30,5.477225575051661,0.0002747479187845152,5.0168768044440206e-05,0.009932770874566272,0.0018247544242125096,0.0017886462276658123,50000,116229
6,LF,4.0,225.0,11.0,19,18.94736842105263,42.0,61.0,300.0,42.0,7674131.18,43,6.557438524302,0.00037738498534342033,5.756152908502909e-05,0.013706649525133615,0.002108852214360581,0.0020667494257509728,50000,120726
7,LF,4.0,109.0,1.0,131,2.7480916030534353,36.0,32.0,300.0,42.0,1333626.54,68,8.246211251235321,0.0005723520301663188,6.942773871741414e-05,0.020730510382275084,0.002549213896256066,0.0024739183463646816,50000,126230
8,LF,4.0,123.0,15.0,155,2.3225806451612905,33.0,148.0,300.0,42.0,105024854.71,30,5.477225575051661,0.0002823077719329613,5.15493864715135e-05,0.010181462439191845,0.0018704476481869018,0.0018797382419595311,50000,113390
9,LF,4.0,188.0,1.0,199,1.8090452261306533,42.0,110.0,300.0,42.0,6791441.66,46,6.782329983125268,0.0004085692969055317,6.025256126345285e-05,0.01481385630623014,0.0022049823813241262,0.002179665622879533,50000,119496
